Spiel_ID;Spieltag;Datum;Uhrzeit;Heim;Gast;Tore_Heim;Tore_Gast;
1;1;2019-08-16;20:30:00;2;14;2;2;
2;1;2019-08-17;15:30:00;4;10;5;1;
3;1;2019-08-17;15:30:00;6;18;3;2;
4;1;2019-08-17;15:30:00;9;13;2;1;
5;1;2019-08-17;15:30:00;16;17;1;3;
6;1;2019-08-17;15:30:00;7;15;3;0;
7;1;2019-08-17;18:30:00;3;5;0;0;
8;1;2019-08-18;15:30:00;11;8;1;0;
9;1;2019-08-18;18:00:00;12;1;0;4;
10;2;2019-08-23;20:30:00;13;4;1;3;
11;2;2019-08-24;15:30:00;8;16;3;2;
12;2;2019-08-24;15:30:00;17;6;1;3;
13;2;2019-08-24;15:30:00;15;3;1;3;
14;2;2019-08-24;15:30:00;10;12;1;1;
15;2;2019-08-24;15:30:00;18;7;1;3;
16;2;2019-08-24;18:30:00;5;2;0;3;
17;2;2019-08-25;15:30:00;1;11;2;1;
18;2;2019-08-25;18:00:00;14;9;0;3;
19;3;2019-08-30;20:30:00;3;1;1;3;
20;3;2019-08-31;15:30:00;2;15;6;1;
21;3;2019-08-31;15:30:00;6;8;0;0;
22;3;2019-08-31;15:30:00;9;18;1;1;
23;3;2019-08-31;15:30:00;7;13;1;2;
24;3;2019-08-31;15:30:00;5;14;3;0;
25;3;2019-08-31;18:30:00;12;4;3;1;
26;3;2019-09-01;15:30:00;16;10;3;2;
27;3;2019-09-01;18:00:00;11;17;2;1;
28;4;2019-09-13;20:30:00;17;9;1;1;
29;4;2019-09-14;15:30:00;15;14;2;1;
30;4;2019-09-14;15:30:00;10;11;2;1;
31;4;2019-09-14;15:30:00;13;3;0;1;
32;4;2019-09-14;15:30:00;12;16;1;2;
33;4;2019-09-14;15:30:00;4;6;4;0;
34;4;2019-09-14;18:30:00;1;2;1;1;
35;4;2019-09-15;15:30:00;8;7;0;3;
36;4;2019-09-15;18:00:00;18;5;1;5;
37;5;2019-09-20;20:30:00;5;15;2;1;
38;5;2019-09-21;15:30:00;2;13;4;0;
39;5;2019-09-21;15:30:00;6;12;2;0;
40;5;2019-09-21;15:30:00;14;18;2;1;
41;5;2019-09-21;15:30:00;7;10;1;1;
42;5;2019-09-21;18:30:00;16;1;0;3;
43;5;2019-09-22;15:30:00;3;17;2;1;
44;5;2019-09-22;18:00:00;11;4;2;2;
45;5;2019-09-23;20:30:00;9;8;1;1;
46;6;2019-09-27;20:30:00;12;11;1;2;
47;6;2019-09-28;15:30:00;1;5;1;3;
48;6;2019-09-28;15:30:00;8;3;0;3;
49;6;2019-09-28;15:30:00;15;9;0;1;
50;6;2019-09-28;15:30:00;10;6;0;3;
51;6;2019-09-28;15:30:00;18;2;2;3;
52;6;2019-09-28;18:30:00;4;16;2;2;
53;6;2019-09-29;15:30:00;17;7;1;2;
54;6;2019-09-29;18:00:00;13;14;0;4;
55;7;2019-10-04;20:30:00;14;17;3;1;
56;7;2019-10-05;15:30:00;2;8;1;2;
57;7;2019-10-05;15:30:00;6;1;1;1;
58;7;2019-10-05;15:30:00;7;4;2;2;
59;7;2019-10-05;15:30:00;18;15;1;2;
60;7;2019-10-05;18:30:00;5;13;1;1;
61;7;2019-10-06;13:30:00;3;10;5;1;
62;7;2019-10-06;15:30:00;9;12;1;0;
63;7;2019-10-06;18:00:00;11;16;2;2;
64;8;2019-10-18;20:30:00;11;6;3;0;
65;8;2019-10-19;15:30:00;1;9;1;1;
66;8;2019-10-19;15:30:00;16;14;1;1;
67;8;2019-10-19;15:30:00;17;15;1;0;
68;8;2019-10-19;15:30:00;10;2;2;2;
69;8;2019-10-19;15:30:00;12;7;2;0;
70;8;2019-10-19;18:30:00;4;3;1;0;
71;8;2019-10-20;15:30:00;13;18;3;0;
72;8;2019-10-20;18:00:00;8;5;2;0;
73;9;2019-10-25;20:30:00;15;13;3;1;
74;9;2019-10-26;15:30:00;2;12;2;1;
75;9;2019-10-26;15:30:00;14;8;2;3;
76;9;2019-10-26;15:30:00;7;1;2;1;
77;9;2019-10-26;15:30:00;5;4;0;0;
78;9;2019-10-26;15:30:00;18;17;2;0;
79;9;2019-10-26;18:30:00;6;16;2;2;
80;9;2019-10-27;15:30:00;9;10;0;0;
81;9;2019-10-27;18:00:00;3;11;4;2;
82;10;2019-11-01;20:30:00;8;18;3;0;
83;10;2019-11-02;15:30:00;4;9;3;0;
84;10;2019-11-02;15:30:00;1;15;8;0;
85;10;2019-11-02;15:30:00;6;3;1;2;
86;10;2019-11-02;15:30:00;11;2;5;1;
87;10;2019-11-02;15:30:00;16;7;2;2;
88;10;2019-11-02;18:30:00;12;14;1;0;
89;10;2019-11-03;15:30:00;17;13;2;0;
90;10;2019-11-03;18:00:00;10;5;2;3;
91;11;2019-11-08;20:30:00;13;8;1;2;
92;11;2019-11-09;15:30:00;14;1;2;4;
93;11;2019-11-09;15:30:00;15;12;2;3;
94;11;2019-11-09;15:30:00;5;17;3;3;
95;11;2019-11-09;15:30:00;18;10;0;1;
96;11;2019-11-09;18:30:00;2;4;4;0;
97;11;2019-11-10;13:30:00;3;16;3;1;
98;11;2019-11-10;15:30:00;9;6;0;2;
99;11;2019-11-10;18:00:00;7;11;1;0;
100;12;2019-11-22;20:30:00;4;18;3;3;
101;12;2019-11-23;15:30:00;6;7;1;1;
102;12;2019-11-23;15:30:00;11;9;0;2;
103;12;2019-11-23;15:30:00;16;5;1;2;
104;12;2019-11-23;15:30:00;17;2;0;4;
105;12;2019-11-23;15:30:00;12;3;2;0;
106;12;2019-11-23;18:30:00;1;13;4;1;
107;12;2019-11-24;15:30:00;10;14;4;0;
108;12;2019-11-24;18:00:00;8;15;1;5;
109;13;2019-11-29;20:30:00;5;12;2;1;
110;13;2019-11-30;15:30:00;18;1;2;3;
111;13;2019-11-30;15:30:00;8;17;1;1;
