Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen;
1;1;1;Péter Gulácsi;Ungarn;17;0;1;
2;1;28;Yvon Mvogo;Schweiz;1;0;0;
3;1;32;Tim Schreiber;Deutschland;0;0;0;
4;1;33;Philipp Tschauner;Deutschland;0;0;0;
5;1;16;Lukas Klostermann;Deutschland;17;1;1;
6;1;23;Marcel Halstenberg;Deutschland;14;2;2;
7;1;5;Dayot Upamecano;Frankreich;14;0;1;
8;1;22;Nordi Mukiele;Frankreich;13;2;1;
9;1;4;Willi Orban;Ungarn;9;1;0;
10;1;6;Ibrahima Konaté;Frankreich;5;0;0;
11;1;26;Ethan Ampadu;Wales;2;0;0;
12;1;37;Frederik Jäkel;Deutschland;0;0;0;
13;1;7;Marcel Sabitzer;Österreich;18;7;5;
14;1;18;Christopher Nkunku;Frankreich;17;3;8;
15;1;27;Konrad Laimer;Österreich;16;2;1;
16;1;8;Amadou Haidara;Mali;9;0;0;
17;1;13;Stefan Ilsanker;Österreich;6;0;0;
18;1;44;Kevin Kampl;Slowenien;4;1;0;
19;1;14;Tyler Adams;Unbekannt;2;0;0;
20;1;19;Hannes Wolf;Österreich;2;0;0;
21;1;41;Oliver Bias;Deutschland;0;0;0;
22;1;49;Mads Bidstrup;Dänemark;0;0;0;
23;1;53;Tom Krauß;Deutschland;0;0;0;
24;1;11;Timo Werner;Deutschland;18;20;6;
25;1;9;Yussuf Poulsen;Dänemark;14;3;4;
26;1;10;Emil Forsberg;Schweden;12;4;2;
27;1;20;Matheus Cunha;Brasilien;10;0;0;
28;1;21;Patrik Schick;Tschechien;8;4;1;
29;1;17;Ademola Lookman;England;3;0;0;
30;2;1;Manuel Neuer;Deutschland;18;0;0;
31;2;39;Ron-Thorben Hoffmann;Deutschland;0;0;0;
32;2;26;Sven Ulreich;Deutschland;0;0;0;
33;2;5;Benjamin Pavard;Frankreich;17;3;2;
34;2;32;Joshua Kimmich;Deutschland;17;0;4;
35;2;27;David Alaba;Österreich;14;1;1;
36;2;8;Javi Martínez;Spanien;11;0;0;
37;2;17;Jérôme Boateng;Deutschland;10;0;0;
38;2;4;Niklas Süle;Deutschland;8;0;1;
39;2;21;Lucas Hernández;Frankreich;6;0;0;
40;2;22;Serge Gnabry;Deutschland;16;6;6;
41;2;10;Philippe Coutinho;Brasilien;16;6;4;
42;2;6;Thiago;Spanien;15;1;0;
43;2;19;Alphonso Davies;Kanada;14;1;2;
44;2;14;Ivan Perisic;Kroatien;13;4;3;
45;2;29;Kingsley Coman;Frankreich;12;1;1;
46;2;18;Leon Goretzka;Deutschland;9;0;1;
47;2;24;Corentin Tolisso;Frankreich;8;1;0;
48;2;11;Mickaël Cuisance;Frankreich;3;0;0;
49;2;28;Sarpreet Singh;Neuseeland;1;0;0;
50;2;34;Oliver Batista Meier;Deutschland;0;0;0;
51;2;37;Paul Will;Deutschland;0;0;0;
52;2;9;Robert Lewandowski;Polen;18;20;2;
53;2;25;Thomas Müller;Deutschland;18;3;11;
54;2;35;Joshua Zirkzee;Niederlande;2;2;0;
55;2;16;Leon Dajaku;Deutschland;2;0;0;
56;2;15;Fiete Arp;Deutschland;0;0;0;
57;2;38;Kwasi Okyere Wriedt;Ghana;0;0;0;
58;2;;Hans-Dieter Flick;Deutschland;0;0;0;
59;3;1;Yann Sommer;Schweiz;18;0;0;
60;3;31;Max Grün;Deutschland;0;0;0;
61;3;21;Tobias Sippel;Deutschland;0;0;0;
62;3;30;Nico Elvedi;Schweiz;17;1;0;
63;3;18;Stefan Lainer;Österreich;16;1;2;
64;3;28;Matthias Ginter;Deutschland;15;0;0;
65;3;17;Oscar Wendt;Schweden;12;2;0;
66;3;25;Ramy Bensebaini;Algerien;8;3;0;
67;3;8;Denis Zakaria;Schweiz;17;2;1;
68;3;32;Florian Neuhaus;Deutschland;15;1;1;
69;3;6;Christoph Kramer;Deutschland;11;0;0;
70;3;23;Jonas Hofmann;Deutschland;8;0;1;
71;3;19;Fabian Johnson;Unbekannt;4;0;0;
72;3;5;Tobias Strobl;Deutschland;4;0;0;
73;3;10;Marcus Thuram;Frankreich;18;6;4;
74;3;14;Alassane Pléa;Frankreich;16;5;5;
75;3;36;Breel Embolo;Schweiz;15;6;2;
76;3;7;Patrick Herrmann;Deutschland;15;5;3;
77;3;13;Lars Stindl;Deutschland;10;1;2;
78;3;11;Raffael;Brasilien;5;0;0;
79;3;37;Keanan Bennetts;England;0;0;0;
80;4;1;Roman Bürki;Schweiz;15;0;0;
81;4;35;Marwin Hitz;Schweiz;4;0;0;
82;4;20;Jonas Hupe;Deutschland;0;0;0;
83;4;40;Eric Oelschlägel;Deutschland;0;0;0;
84;4;25;Luca Unbehaun;Deutschland;0;0;0;
85;4;5;Achraf Hakimi;Marokko;18;2;6;
86;4;16;Manuel Akanji;Schweiz;17;0;0;
87;4;15;Mats Hummels;Deutschland;16;0;3;
88;4;26;Lukasz Piszczek;Polen;14;0;3;
89;4;13;Raphaël Guerreiro;Portugal;13;2;1;
90;4;14;Nico Schulz;Deutschland;8;1;0;
91;4;2;Dan-Axel Zagadou;Frankreich;7;0;1;
92;4;29;Marcel Schmelzer;Deutschland;2;0;0;
93;4;18;Leonardo Balerdi;Argentinien;1;0;0;
94;4;22;Mateu Morey;Spanien;0;0;0;
95;4;19;Julian Brandt;Deutschland;18;3;1;
96;4;11;Marco Reus;Deutschland;17;9;4;
97;4;23;Thorgan Hazard;Belgien;17;4;9;
98;4;28;Axel Witsel;Belgien;14;3;3;
99;4;10;Mario Götze;Deutschland;11;3;0;
100;4;8;Mahmoud Dahoud;Deutschland;7;0;0;
101;4;6;Thomas Delaney;Dänemark;6;0;0;
102;4;;Chris Fuhrich;Deutschland;0;0;0;
103;4;31;Patrick Osterhage;Deutschland;0;0;0;
104;4;37;Tobias Raschl;Deutschland;0;0;0;
105;4;9;Paco Alcácer;Spanien;11;5;1;
106;4;34;Jacob Bruun Larsen;Dänemark;4;0;1;
107;4;17;Erling Haaland;Norwegen;1;3;0;
108;4;;Giovanni Reyna;Unbekannt;1;0;0;
109;5;;Alexander Nübel;Deutschland;15;0;0;
110;5;23;Markus Schubert;Deutschland;4;0;0;
111;5;34;Michael Langer;Österreich;0;0;0;
112;5;20;Jonjoe Kenny;England;18;1;2;
113;5;24;Bastian Oczipka;Deutschland;18;0;3;
114;5;4;Ozan Kabak;Türkei;13;3;1;
115;5;26;Salif Sané;Senegal;10;2;1;
116;5;17;Benjamin Stambouli;Frankreich;9;0;0;
117;5;5;Matija Nastasic;Serbien;6;0;0;
118;5;3;Juan Miranda;Spanien;3;0;0;
119;5;27;Jonas Carls;Deutschland;0;0;0;
120;5;;Jean-Clair Todibo;Frankreich;0;0;0;
121;5;18;Daniel Caligiuri;Italien;18;1;1;
122;5;6;Omar Mascarell;Äquatorialguinea;18;0;1;
123;5;25;Amine Harit;Marokko;17;6;4;
124;5;8;Suat Serdar;Deutschland;15;7;0;
125;5;2;Weston McKennie;Unbekannt;13;0;0;
126;5;16;Nassim Boujellab;Deutschland;2;0;0;
127;5;11;Michael Gregoritsch;Österreich;1;1;1;
128;5;45;Marcel Langer;Deutschland;0;0;0;
129;5;19;Guido Burgstaller;Österreich;16;0;1;
130;5;9;Benito Raman;Belgien;12;4;4;
131;6;1;Luká? Hrádecký;Finnland;18;0;0;
132;6;36;Niklas Lomb;Deutschland;0;0;0;
133;6;28;Ramazan Özcan;Österreich;0;0;0;
134;6;5;Sven Bender;Deutschland;18;0;0;
135;6;18;Wendell;Brasilien;15;0;2;
136;6;4;Jonathan Tah;Deutschland;14;0;0;
137;6;6;Aleksandar Dragovic;Österreich;8;0;0;
138;6;23;Mitchell Weiser;Deutschland;8;0;0;
139;6;3;Panagiotis Retsos;Griechenland;3;0;0;
140;6;11;Nadiem Amiri;Deutschland;16;0;1;
141;6;29;Kai Havertz;Deutschland;15;3;1;
142;6;38;Karim Bellarabi;Deutschland;15;2;1;
143;6;20;Charles Aránguiz;Chile;15;1;2;
144;6;15;Julian Baumgartlinger;Österreich;14;1;1;
145;6;10;Kerem Demirbay;Deutschland;13;0;2;
146;6;8;Lars Bender;Deutschland;13;0;0;
147;6;19;Moussa Diaby;Frankreich;12;1;2;
148;6;22;Daley Sinkgraven;Niederlande;5;0;0;
149;6;32;Ayman Azhil;Marokko;0;0;0;
150;6;25;Exequiel Palacios;Argentinien;0;0;0;
151;6;30;Adrian Stanilewicz;Polen;0;0;0;
152;6;31;Kevin Volland;Deutschland;18;7;6;
153;6;13;Lucas Alario;Argentinien;13;5;1;
154;6;9;Leon Bailey;Jamaika;8;3;1;
155;6;7;Paulinho;Brasilien;6;1;0;
156;6;17;Joel Pohjanpalo;Finnland;1;0;0;
